Ticker,Name,Exchange
UBSF4.AX,Eastern Australian Feed Barley ,ASX
PSKZ1314.NYM,PSK Future DEC 14 2013 Trading ,NYM
XZ1G16.NYM,XZ1 Future FEB 2016 Trading Ses,NYM
TBNJ15.NYM,TBN Future APR 2015 Trading Ses,NYM
GXG14.NYM,"Gasoil Calendar Swap Futures,Fe",NYM
HPEG14.NYM,"future for HPE, February, 2014,",NYM
XAYU13.CME,"future for XAY, September, 2013",CME
EDU23-C.SI,,
X4U1322.NYM,X4 Future SEP 22 2013,NYM
KRN1308.NYM,European 3.5% Fuel Oil Rotterda,NYM
T7F1324.NYM,Tennessee 500 Leg Natural Gas S,NYM
Q7M1309.NYM,Q7 Future JUN 09 2013,NYM
XZ1V15.NYM,XZ1 Future OCT 2015 Trading Ses,NYM
AIXFV30.EX,AIXF OCT 13        ,EUX
XZ4J17.NYM,"future for XZ4, April, 2017, tr",NYM
8OV1304.NYM,"Daily or weekly future for 8O, ",NYM
UDM1317.NYM,Northern Illinois Hub Daily Fut,NYM
PMQ16.NYM,"Permian Basis Swap Futures,Aug-",NYM
MFA3X.AS,MFA NOV 13/N       ,AMS
MLDV1330.NYM,MLD Future OCT 30 2013,NYM
8IU14.NYM,"future for 8I, September, 2014,",NYM
U6NG14.NYM,"future for U6N, February, 2014,",NYM
Y9G1301.NYM,Y9 Future FEB 01 2013,NYM
VZU1303.NYM,Gulf Coast 3% Fuel Oil Balmo Fu,NYM
U2M15.NYM,"future for U2, June, 2015, trad",NYM
VDJ1309.NYM,"AEP-Dayton Hub Daily Futures,Ap",NYM
SLG1301.NYM,"Natural Gas El Paso, Permian Sw",NYM
QXK16.NYM,Eastern Rail CSX Coal Swap Futu,NYM
BHK14.NYM,Heating Oil - Financial Futures,NYM
D3G14.CME,Weather European Monthly Heatin,CME
EMZ16.NYM,Cinergy Hub LMP Swap - Peak Fut,NYM
AMBC-N1325.BO,AMBC     JUL  2013 FUTURE,BSE
APR3.AX,S&P;/ASX 200 Index October 2013 ,ASX
3VK1322.NYM,Gasoil 10ppm Cargoes CIF NWE vs,NYM
QC4Q13.CBT,QC4 Future AUG 2013,CBT
UFGV13.CBT,"future for UFG, October, 2013, ",CBT
QVDX1312.NYM,"Daily or weekly future for QVD,",NYM
RMBF14.CME,Chinese Renminbi / U.S. Dollar ,CME
SSQ1308.NYM,Natural Gas Chicago Swing Futur,NYM
IDLV1313.NYM,IDL Future OCT 13 2013,NYM
OPOQ1329.NYM,OPO Future AUG 29 2013,NYM
0EU1305.NYM,0E Future SEP 05 2013,NYM
8EF16.NYM,Transco Zone 1 Natural Gas Basi,NYM
NHNJ15.NYM,Natural Gas Houston Ship Channe,NYM
XZ6X17.NYM,"future for XZ6, November, 2017,",NYM
HH6U13.NYM,HH6 Future SEP 2013,NYM
FCBJ1325.NYM,FCB Future APR 25 2013,NYM
EUBK1322.NYM,EUB Future MAY 22 2013,NYM
YAU14.CME,YA Future SEP 2014,CME
Y9V1317.NYM,Y9 Future OCT 17 2013,NYM
A32M1318.NYM,A32 Future JUN 18 2013,NYM
KSRN1313.NYM,KSR Future JUL 13 2013,NYM
A1KF1314.NYM,A1K Future JAN 14 2013,NYM
A1DV1311.NYM,A1D Future OCT 11 2013,NYM
GNLZ1312.NYM,GNL Future DEC 12 2013 Trading ,NYM
XZ1Q16.NYM,"future for XZ1, August, 2016, t",NYM
OPON1317.NYM,OPO Future JUL 17 2013,NYM
KUJ14-C.SI,,
VMJ15.NYM,"AEP-Dayton Hub Monthly Futures,",NYM
QLF14.NYM,"Coal Futures,Jan-2014",NYM
FKX14.NYM,European 3.5% Fuel Oil Rdam vs ,NYM
OPDF1323.NYM,"Daily or weekly future for OPD,",NYM
ENV3.AX,Base Load Calender Month Electr,ASX
